"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"HAMP",-5.00466131681334,11.106314173954,-14.6258610810781,9.14942237129235e-32,2.08011391466699e-29,61.5966812661112,"Down"
"CYP1A2",-4.75493362009219,10.2304438655904,-13.1341903680395,1.47067057094055e-27,1.49393011259444e-25,51.9993019235406,"Down"
"FCN3",-4.64250802622986,10.1483745829621,-18.4673922692292,2.79601314243112e-42,2.10775243363373e-39,85.5702114764813,"Down"
"MT1H",-4.2102290171704,10.464111430184,-12.9986252602329,3.55693699436288e-27,3.28683926259739e-25,51.1241249833768,"Down"
"MT1G",-4.04121777976315,12.0269564757232,-12.183038269026,7.21778044876366e-25,4.16350589041584e-23,45.860012820272,"Down"
"MT1F",-3.74017148664907,10.9918008405383,-13.4804159468418,1.5433265615041e-28,1.87331070681552e-26,54.2332934588441,"Down"
"CYP3A4",-3.69003116209629,10.9569133125318,-10.3111147884724,1.27713157912783e-19,2.72613347359879e-18,33.8955356626279,"Down"
"GPC3",3.53202764466267,9.87645012967972,10.9601304275972,1.99629515630498e-21,5.9076313065612e-20,38.0110976466032,"Up"
"THRSP",-3.48956744891433,9.66764513976637,-12.8240998025818,1.10904653864168e-26,9.23539161218883e-25,49.9972742457451,"Down"
"DCN",-3.45060689523417,10.2651938753316,-12.2567326596655,4.46762842118617e-25,2.69999332812867e-23,46.3352516670282,"Down"
"HSD17B13",-3.36856182261322,9.32638604266704,-13.3904771426738,2.77134262516724e-28,3.20112422744116e-26,53.6531857734605,"Down"
"C9",-3.27950508491884,10.6559597504927,-10.7824111133009,6.26126735859115e-21,1.70819299765907e-19,36.8795513978622,"Down"
"MT1E",-3.25852386470352,12.3141277442956,-11.1347547317388,6.47522102726507e-22,2.08414810727006e-20,39.1257886781211,"Down"
"CLEC1B",-3.24370259862771,7.75029456610532,-22.090323988257,1.50764134339632e-51,5.39848674036637e-48,106.648295275255,"Down"
"MT1M",-3.20878037255516,9.23550401527135,-10.5780627688434,2.32169897595711e-20,5.64578852846072e-19,35.5825130859682,"Down"
"APOF",-3.20678908872942,10.4501364030726,-13.911363593621,9.36802146457372e-30,1.50761990378752e-27,57.0098267562381,"Down"
"MT1X",-3.12603789680586,12.3047344268584,-11.1490206631397,5.9055540193556e-22,1.90937359411355e-20,39.2169685159486,"Down"
"AKR1B10",3.0648828793172,10.4606054166599,8.14284299795641,8.36146531903374e-14,6.28008745487783e-13,20.669555207855,"Up"
"SLC25A47",-2.99067831859995,9.16866394214165,-15.8889363939837,2.7598605490901e-35,1.12941378984622e-32,69.6278281385031,"Down"
"CLEC4G",-2.96349531805415,7.98289395438935,-23.6981985641188,1.9637197836661e-55,1.40631792307248e-51,115.46178110311,"Down"
"NAT2",-2.94050777735634,8.90802146332694,-16.1032294583417,7.06148792075923e-36,3.37138971630115e-33,70.977972697513,"Down"
"HGFAC",-2.88762886238664,10.1033193140312,-10.3445185398962,1.03226117324034e-19,2.24350030725409e-18,34.1061353294221,"Down"
"SPINK1",2.88756199477831,10.8082591445313,6.69355888464422,3.1219598429283e-10,1.39085010358513e-09,12.5874689114652,"Up"
"IGFALS",-2.85040232740606,8.8849413429392,-16.649666794114,2.22531590117737e-37,1.32804998552348e-34,74.4018685831064,"Down"
"ADH4",-2.81053412774805,12.6100374054754,-8.97335083719863,5.56946615181615e-16,6.00688732623966e-15,25.6123177694199,"Down"
"SLC22A1",-2.75777699667679,10.17468656183,-10.4534370597246,5.15153519969907e-20,1.17868112883849e-18,34.7938361382233,"Down"
"ECM1",-2.75000667073385,8.30921405532554,-23.3838585782066,1.10034367718086e-54,5.25340749608713e-51,113.765159262221,"Down"
"CYP2A6",-2.69017509168583,9.91347984195781,-8.14797479006315,8.11115873668557e-14,6.1048936723882e-13,20.6994983394901,"Down"
"NNMT",-2.65358793537898,11.1093140590944,-9.55452168900449,1.51869266519234e-17,2.16655727525398e-16,29.1703980576597,"Down"
"FCN2",-2.64412527607206,7.66593338916291,-24.7424510935782,7.00101106818779e-58,1.00275481529654e-53,121.006501420052,"Down"
"FOSB",-2.62009511380645,9.4130740615155,-11.9387102877429,3.5368229449212e-24,1.80277277722798e-22,44.2855948106351,"Down"
"GCGR",-2.59030969947657,10.444650249401,-8.39735088497138,1.83527138627408e-14,1.53364014385085e-13,22.1640874043539,"Down"
"C7",-2.57999996882481,8.90689954615117,-10.0433203700983,6.99906840484333e-19,1.24531250636734e-17,32.2127826758201,"Down"
"ADH1B",-2.57780146806805,10.9436965663826,-11.389237717804,1.24982258132255e-22,4.67425783014921e-21,40.7546639380665,"Down"
"TOP2A",2.57772383791807,9.08932885743598,14.3484298699518,5.50391599885482e-31,1.03727090594207e-28,59.8186277656188,"Up"
"NPW",-2.57355132320029,9.86410106942599,-9.64507652298467,8.61356930138741e-18,1.26276512900483e-16,29.7309027468541,"Down"
"CYP2A7",-2.56509376086153,8.99913986058746,-10.1963911653407,2.650083974356e-19,5.19249695823542e-18,33.1733918116891,"Down"
"ACSL4",2.52948060434073,10.2717871573693,10.0698884823076,5.91474497754791e-19,1.07372487089251e-17,32.3792647444037,"Up"
"MT2A",-2.51280391582172,12.9862298663349,-11.1991618230917,4.27206754949894e-22,1.42299589561566e-20,39.5375732996194,"Down"
"AKR1B15",2.5123321001809,9.06113698815726,7.8560233759491,4.51326666559991e-13,3.06077265394827e-12,19.0092827247614,"Up"
"CYP26A1",-2.50787723643127,8.24357753011545,-16.3613455463342,1.3745571519269e-36,7.03135074537463e-34,72.5987710282349,"Down"
"DNASE1L3",-2.47642970460389,9.78924389036179,-13.7732815575,2.29747584707653e-29,3.22615162330168e-27,56.1208260962044,"Down"
"FOS",-2.47121578911141,10.0757857582873,-11.3417828694403,1.69909124449495e-22,6.19238775951685e-21,40.4505565641632,"Down"
"SLCO1B3",-2.43475104415418,8.83836371294803,-9.51597588889753,1.93246600051968e-17,2.69773007070599e-16,28.9322764558997,"Down"
"GBA3",-2.4319865340807,10.3325972361896,-10.418267563778,6.44870736880526e-20,1.45227728999053e-18,34.5716142556638,"Down"
"MT1A",-2.43168600436984,13.1583437016928,-10.8431343747161,4.23822319329467e-21,1.18794659095029e-19,37.2658291097904,"Down"
"SDS",-2.42828916353469,10.6639685962734,-7.69845919267978,1.12695154101387e-12,7.24476073695766e-12,18.1088120228206,"Down"
"CETP",-2.41451682849059,8.89160865725071,-18.6430951602904,9.57546627089171e-43,8.57183771237387e-40,86.6300651417782,"Down"
"LY6E",-2.40254289909782,11.2979689172654,-11.316316491029,2.003370186335e-22,7.10254237100896e-21,40.2874243482581,"Down"
"LCAT",-2.38483175439529,8.99918349313589,-15.3508640989003,8.6003892508617e-34,2.79962216454755e-31,66.2208515933545,"Down"
"AADAT",-2.37424362368973,9.07621829718955,-18.1156921165221,2.41362444518166e-41,1.72851714641685e-38,83.4378800489687,"Down"
"SHBG",-2.37089013079188,9.9268183107656,-11.2215569669393,3.69661023157141e-22,1.24873934780182e-20,39.6808331865473,"Down"
"BBOX1",-2.35155506684581,9.22712730427038,-9.70540948547348,5.89859148608866e-18,8.86521782321593e-17,30.105171466673,"Down"
"KBTBD11",-2.34620719329966,8.3800648245289,-15.272970211603,1.41756003876708e-33,4.41385052940453e-31,65.7257705384147,"Down"
"SERPINA11",-2.33705589283826,11.0507984122885,-9.7476842789977,4.52241748029795e-18,6.9426136731305e-17,30.3678021805336,"Down"
"INMT",-2.33705435395189,8.21908559056012,-13.8927515783714,1.05716992975991e-29,1.62815536601626e-27,56.8900389443753,"Down"
"FAM134B",-2.33387602677922,8.8517720150571,-11.413900544653,1.06539401868746e-22,4.04764947736353e-21,40.9127729730532,"Down"
"PTH1R",-2.32954391877848,8.0118097093021,-18.6112452000992,1.16253325279978e-42,9.30375165784466e-40,86.4382145568001,"Down"
"CYP2E1",-2.31158566408051,13.4190437251812,-6.09610235240435,7.22983985159114e-09,2.65997935253891e-08,9.51573047010976,"Down"
"MDK",2.30577539369603,9.92922809405004,10.1935986095574,2.69753474333552e-19,5.26646536109186e-18,33.1558364632979,"Up"
"RDH16",-2.29415212607034,11.9598886806669,-9.40110335020755,3.95598485064181e-17,5.25617541890006e-16,28.2243358052447,"Down"
"C1QTNF1",-2.29162173440881,8.77839886630992,-14.8708543189319,1.88284328277939e-32,4.90326624349985e-30,63.1631528982068,"Down"
"GHR",-2.28838906927794,10.8311841413646,-11.7084173464011,1.57869416473293e-23,7.12177764807829e-22,42.8037812901719,"Down"
"BCHE",-2.26239492681173,10.758172060837,-9.34099975180589,5.74932452797624e-17,7.41870046974808e-16,27.854970182654,"Down"
"CDHR2",-2.2489426710194,8.488426970694,-18.6103036517378,1.16922104196889e-42,9.30375165784466e-40,86.4325412399987,"Down"
"CDC20",2.24885492854778,8.76035935315904,13.1828775055567,1.07098773724404e-27,1.10357966622636e-25,52.3135687053563,"Up"
"UBE2C",2.24642049188051,8.74887347066999,13.1448937048397,1.3716257016905e-27,1.40327106609379e-25,52.0683925120286,"Up"
"F9",-2.2350491386649,11.5073061966968,-9.50909359826261,2.01735886040609e-17,2.80803021939713e-16,28.8897899356835,"Down"
"ID1",-2.23433771504569,9.20566674858244,-12.5899928263242,5.09831032056116e-26,3.744774293405e-24,48.4857947792615,"Down"
"TACSTD2",-2.23135212472306,8.01422573292662,-11.8006840579322,8.67203721216747e-24,4.07244554065163e-22,43.3971769185016,"Down"
"CRHBP",-2.22534023513124,7.97457500256858,-19.1775048829631,3.76080754852612e-44,5.38660465175395e-41,89.830982039759,"Down"
"UGP2",-2.21878924650342,9.61229647114019,-12.9382359829502,5.27180887475921e-27,4.6899452492656e-25,50.7342232448256,"Down"
"CXCL12",-2.21656625702044,9.1567832648714,-13.5375420766621,1.06419565764814e-28,1.33705915828898e-26,54.6016603762588,"Down"
"IGLL1",-2.21649260180187,10.8593781452878,-6.1118745126925,6.66879284917881e-09,2.4681426351108e-08,9.5945374136919,"Down"
"ZG16",-2.21344792371016,8.74791254452312,-13.6431904671335,5.35257264878418e-29,6.96953618623053e-27,55.2826882711857,"Down"
"FAM13A",-2.20257103882984,9.05190802317633,-14.478919614802,2.36545585128108e-31,4.77189072646464e-29,60.6554548816365,"Down"
"BGN",-2.19722477682814,12.1506112331911,-11.3798809455651,1.327852856242e-22,4.93995752206603e-21,40.6946901198287,"Down"
"CYP2C8",-2.19439242718201,12.9120150183259,-7.56508504929038,2.42930843754077e-12,1.48253024077104e-11,17.3533776963588,"Down"
"SQLE",2.19338474915736,10.2461925414453,12.361575756815,2.25738614044128e-25,1.4498897618628e-23,47.0115896312581,"Up"
"DBH",-2.18810246045057,7.85199753603526,-20.7175166715687,4.05014131194684e-48,9.66836233516909e-45,98.8574497083323,"Down"
"CYP8B1",-2.18689976051334,11.7122871351955,-7.98451944609973,2.12726860730385e-13,1.5038928066344e-12,19.749813088036,"Down"
"CPED1",-2.18660971392889,9.51245070658113,-13.9041659118788,9.81632524901902e-30,1.52825246240978e-27,56.9635036761948,"Down"
"HEPACAM",-2.16973660287517,8.9211607795135,-7.96197251422339,2.42831533275085e-13,1.70493924073482e-12,19.6194821613895,"Down"
"CAP2",2.16001893983576,9.87469435144371,16.3085866434633,1.91966399804487e-36,9.48115429103333e-34,72.2679770510595,"Up"
"ADH1C",-2.15318396319372,12.0827179914545,-7.09701426606185,3.42138080591063e-11,1.73836244352813e-10,14.7550506422507,"Down"
"IGFBP3",-2.14431808895606,10.9457316648858,-13.0341311639462,2.82234663220765e-27,2.65950465875725e-25,51.3533578174876,"Down"
"ADIRF",-2.13481527050272,10.3848561320197,-9.55834523365393,1.48280346380175e-17,2.12381940120325e-16,29.1940337848104,"Down"
"ATOH8",-2.12669074790803,8.09570422519324,-16.5819644584995,3.41014097584936e-37,1.87859419988809e-34,73.9791901628014,"Down"
"TAT",-2.11698966964113,11.9004299960953,-7.29405790975177,1.1348572825285e-11,6.21351714742193e-11,15.8384791835936,"Down"
"ENO3",-2.11427399919162,10.0779971712447,-9.16449712603073,1.71637688226624e-16,2.05034746327767e-15,26.774611194929,"Down"
"IGF1",-2.09077085988664,8.65138036492614,-12.1064587901384,1.18801310471193e-24,6.51950639800346e-23,45.3663312209018,"Down"
"PGLYRP2",-2.09026011972869,11.8965184265554,-8.68240075938328,3.2885481736605e-15,3.14852108899327e-14,23.8597933898251,"Down"
"VIPR1",-2.08573248072356,8.27199254922143,-18.8907968885028,2.12675661600502e-43,2.17582392935999e-40,88.1179859760429,"Down"
"WDR72",-2.07373014894826,9.862899096646,-9.23736852605505,1.09354698368743e-16,1.35141272194607e-15,27.2198511159823,"Down"
"KDM8",-2.06471400698127,8.1262363283904,-18.9156391073209,1.82959636023121e-43,2.01579297443013e-40,88.2668047918993,"Down"
"CSRNP1",-2.04953178621864,10.6673350217717,-14.5878967237556,1.16929514949067e-31,2.57658683479306e-29,61.3536189642378,"Down"
"AFM",-2.04209272884826,12.6652224242065,-9.23036118412528,1.14204680321548e-16,1.40408037445969e-15,27.1769870783429,"Down"
"PCK1",-2.01924582854018,10.5588479138965,-8.44824577907961,1.35226122854017e-14,1.15909261378701e-13,22.46521500543,"Down"
"HBA2",-2.00109427218575,10.9376695477177,-10.614080135447,1.84344886111504e-20,4.59995087765693e-19,35.8107855788033,"Down"
"ADGRG7",-1.99731916197416,8.58225935462132,-15.2354948646324,1.80310463625886e-33,5.3803891052366e-31,65.4874243602563,"Down"
"ASPM",1.99019648363761,8.90722071020813,14.8276278946966,2.48793156318626e-32,6.14390409991668e-30,62.8870347807028,"Up"
"ALDH8A1",-1.98719627242609,10.2572940449276,-13.3707730720646,3.15063850185243e-28,3.61012762096259e-26,53.5260708313526,"Down"
"PRC1",1.98600664911082,8.69113887604009,14.4105147199183,3.6823675750874e-31,7.22500695588724e-29,60.2168872355774,"Up"
"STEAP3",-1.97841310590694,9.83502367710066,-12.9646617697411,4.43794001609856e-27,4.02307688927719e-25,50.9048428788313,"Down"
"SAA1",-1.9758035769432,10.8004114217778,-5.96957520455914,1.37596209540304e-08,4.88302901200639e-08,8.8882486240477,"Down"
"MARCO",-1.97186379754229,7.70005875311873,-20.6511102941241,5.9696624409778e-48,1.22147821631607e-44,98.4744163155303,"Down"
"MFAP4",-1.96994626046512,8.3459817321796,-12.5121027686623,8.46848244703661e-26,6.06470370444527e-24,47.9830063137118,"Down"
"C8orf4",-1.95527604377571,9.2709953318128,-13.6578679855763,4.86529561203399e-29,6.39317697717091e-27,55.3772771965988,"Down"
"ASPG",-1.94899761746037,8.77111263049003,-11.3778078906501,1.34578879752933e-22,4.99371319870792e-21,40.6814033344699,"Down"
"SPP2",-1.92952183015336,11.4095018332563,-6.90836374830915,9.70127815954494e-11,4.63480343826425e-10,13.7327486442695,"Down"
"STAB2",-1.92366079428894,7.50052292875133,-20.4423720837608,2.02810481766359e-47,3.63106816292446e-44,97.2667342427738,"Down"
"CRP",-1.92361290913886,12.2193355414603,-5.08031459077807,9.95239325816579e-07,2.72819384950638e-06,4.73251252697299,"Down"
"TTC36",-1.92168696428033,7.75989880804712,-18.7674736817072,4.49426623620122e-43,4.29142502007401e-40,87.3781124915934,"Down"
"PAMR1",-1.91987169052282,7.7785671914231,-19.0966018955952,6.1259773805299e-44,7.97657945648453e-41,89.3486215844225,"Down"
"SLC10A1",-1.90811859466275,11.6046001394044,-6.5664854712053,6.17507177236791e-10,2.64332196639646e-09,11.9197601703073,"Down"
"COLEC11",-1.90682391619525,10.3103610886614,-9.44947913201101,2.92654508160954e-17,3.98071274490916e-16,28.5221533308747,"Down"
"KLKB1",-1.90532324895542,10.8416625285717,-12.6923316427755,2.61721568185091e-26,2.00461926262838e-24,49.1464937415574,"Down"
"EVC2",-1.90485772998148,9.06032972690655,-13.0905127546274,1.95472517574245e-27,1.91763895151775e-25,51.7173476745694,"Down"
"EGR1",-1.90278729145039,10.6152143120317,-10.586684803171,2.19700553649424e-20,5.38968729696949e-19,35.6371446013985,"Down"
"FBP1",-1.90228957987236,12.518703487223,-9.85001892887294,2.37436245267601e-18,3.83404660763005e-17,31.0048246087265,"Down"
"CLRN3",-1.89918435093566,9.33464327117256,-8.18190596292015,6.63321229167614e-14,5.05627991770502e-13,20.897684217942,"Down"
"CHST4",-1.89842903877769,7.74543804347966,-15.1589161159848,2.94885465680205e-33,8.44728904987517e-31,65.0000625430185,"Down"
"ATF5",-1.89670939659904,12.1260225354713,-8.18367610928224,6.56390780618684e-14,5.00611562875474e-13,20.9080329761996,"Down"
"CXCL2",-1.87630837928168,9.44165267581253,-9.60714238177088,1.09252431949617e-17,1.58543321460421e-16,29.4959189556775,"Down"
"SOCS2",-1.87226261915537,10.0276087229929,-11.4547521603016,8.17752217451285e-23,3.14856586305235e-21,41.1747544620977,"Down"
"KMO",-1.86732381262733,8.88778763564558,-11.6168151718992,2.86038610067419e-23,1.21570653174945e-21,42.2150912447399,"Down"
"CDKN3",1.86440168898176,8.09469281071924,13.9731107884017,6.27372324026575e-30,1.03285675827961e-27,57.4071398236819,"Up"
"PTTG1",1.86005399879696,9.33186107514695,13.7008699548088,3.6785461065287e-29,4.9240949424122e-27,55.6543651697895,"Up"
"GSTZ1",-1.85992795126779,9.15498189548645,-13.5833105567307,7.90147260757179e-29,1.00152913414381e-26,54.8967294802791,"Down"
"RDH5",-1.85693405015882,9.90934212714753,-12.3891499020105,1.88632935630729e-25,1.22808615319951e-23,47.1895079892283,"Down"
"C8A",-1.85302443484171,12.6838395261289,-10.1857318879795,2.83580661435628e-19,5.51864920345449e-18,33.1063884100461,"Down"
"ALPL",-1.84650988144429,9.91115439045671,-10.6363051043137,1.59877135426792e-20,4.03865998362953e-19,35.9517178570708,"Down"
"ADAMTSL2",-1.84537829444613,8.95720196263134,-10.1312585263967,4.00778316808801e-19,7.57301824756261e-18,32.7642269420231,"Down"
"SAA4",-1.8384780862119,13.2310289179741,-8.03753256417848,1.55739426755248e-13,1.12319023636224e-12,20.0568967415049,"Down"
"CYP4F2",-1.83221834224202,9.94038768721936,-9.94776519313685,1.28113603933928e-18,2.17671547941358e-17,31.6149078700699,"Down"
"GADD45G",-1.83094676087193,10.5101361046079,-9.77723991147265,3.75517222177541e-18,5.83355007944568e-17,30.5515999058512,"Down"
"NEK2",1.82983866498084,8.32403821720259,14.1871822529863,1.5645400026539e-30,2.87293672538613e-28,58.7833694854433,"Up"
"CYR61",-1.82740993898177,9.58189850163098,-11.0899254117944,8.64741710571759e-22,2.72812676663421e-20,38.8393746835651,"Down"
"TPR",-1.81464169719264,12.1758681217454,-7.88375231582689,3.83874430094136e-13,2.6269629537689e-12,19.168624629497,"Down"
"TDO2",-1.8136259951453,11.722752692289,-6.85309431976349,1.31293006996278e-10,6.15954713137142e-10,13.4361213221403,"Down"
"NCAPG",1.81338790636562,8.04853483913076,14.2024548802851,1.41706564369772e-30,2.63592613177693e-28,58.8814774910702,"Up"
"GLS2",-1.81313642436972,9.35237325070998,-7.99220306219094,2.03337530075458e-13,1.44178388280732e-12,19.7942652573325,"Down"
"PROZ",-1.81300589314244,8.78437208440055,-11.1931584669364,4.44098267302229e-22,1.46901142784522e-20,39.4991770081848,"Down"
"PNPLA7",-1.81053184053599,9.25097241726524,-13.9412567889081,7.71513043210178e-30,1.25572514976129e-27,57.2021933103767,"Down"
"SNORA22",-1.80726218995892,8.51096110855685,-12.311445472648,3.12877563846939e-25,1.96550234516654e-23,46.6881707374801,"Down"
"PEG10",1.80140295148612,8.65719146098276,7.04682316455966,4.52096032521539e-11,2.25387103160668e-10,14.481603311017,"Up"
"MBL2",-1.80018755784741,10.4399916198135,-7.68597581552427,1.21126325838153e-12,7.74505520080296e-12,18.037837526936,"Down"
"CYP2C9",-1.79898168409787,10.9044717549805,-7.45888979527725,4.45824131508596e-12,2.59258588534211e-11,16.7565050537194,"Down"
"RND3",-1.79832428781238,9.427574637203,-12.4869745353783,9.97461873873482e-26,6.97624889667132e-24,47.8208174961521,"Down"
"ASPDH",-1.79778538643856,9.0600020133399,-11.4387955471977,9.06781105137576e-23,3.46342020503613e-21,41.0724116423011,"Down"
"HSD11B1",-1.79764855476254,11.4483921913085,-5.69125287933092,5.50558658307603e-08,1.80946573266173e-07,7.53840884885827,"Down"
"ZGPAT",-1.79129852074469,8.61656687651177,-11.9129286822902,4.18209168510338e-24,2.09440906313761e-22,44.1195878137181,"Down"
"NDRG2",-1.78952045543693,9.74334471171651,-15.104790923202,4.17593830304352e-33,1.14488412965386e-30,64.6553487679972,"Down"
"CXCL14",-1.77854573103211,7.82677272533456,-14.0358361786299,4.17552999334476e-30,7.03601365819729e-28,57.810592244425,"Down"
"ALG1L",1.77726134789621,8.46451191978599,9.43839302625352,3.13595595060218e-17,4.23738651702594e-16,28.4538627165715,"Up"
